Industry Sector,Description,Jobs,Labor Income,Output
Mining,Coal mining,13.92,526493.48,4444083.79
Mining,"Copper, nickel, lead, and zinc mining",0,0,0
Mining,Iron ore mining,0,0,0
Mining,Gold ore mining,355.58,41692805.54,159273657.2
Mining,Silver ore mining,0,0,0
Mining,Uranium-radium-vanadium ore mining,0,0,0
Mining,Other metal ore mining,0,0,0
Mining,Stone mining and quarrying,29.52,1996952.85,14072928.24
Mining,Sand and gravel mining,8.68,486286.55,2350613.43
Mining,"Other clay, ceramic, refractory minerals mining",0,0,0
Mining,"Potash, soda, and borate mineral mining",0,0,0
Mining,Phosphate rock mining,0,0,0
Mining,Other chemical and fertilizer mineral mining,0,0,0
Mining,Other nonmetallic minerals,0,0,0
Mining,Drilling oil and gas wells,40.4,4792911.22,18329617.99
Mining,Support activities for oil and gas operations,201,17244920.77,51872478.38
Mining,Metal mining services,64.45,6436778.27,31301794.41
Mining,Other nonmetallic minerals services,20.25,1215060.6,11521369.78
Transportation,Electric power generation - Hydroelectric,0,0,0
Transportation,Electric power generation - Fossil fuel,21.33,3886515.62,32466735.08
Transportation,Electric power generation - Nuclear,0,0,0
Transportation,Electric power generation - Solar,0,0,0
Transportation,Electric power generation - Wind,25.97,3196016.12,55721130.37
Transportation,Electric power generation - Geothermal,2.19,320966.24,1598215.58
